time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1732924800,97514.26,96996.52,97510.92,1125.17,109368422.1,97018.13,direct,
1732928400,97018.17,96465.78,97018.13,1507.99,145893300.62,96467.42,direct,
1732932000,96735.46,96352.1,96467.42,948.03,91521975.0,96638.07,direct,
1732935600,96727.29,96438.87,96638.07,577.37,55782291.04,96681.31,direct,
1732939200,96774.13,96586.81,96681.31,297.17,28737238.97,96736.27,direct,
1732942800,97237.46,96736.26,96736.27,410.31,39765582.28,97161.26,direct,
1732946400,97279.04,96659.05,97161.26,917.43,88965890.54,96692.05,direct,
1732950000,96961.58,96615.67,96692.05,261.19,25287778.69,96829.09,direct,
1732953600,97010.97,96752.2,96829.09,219.11,21236115.69,96986.75,direct,
1732957200,96986.75,96650.78,96986.75,179.15,17336337.99,96817.43,direct,
1732960800,96845.16,96158.11,96817.43,410.43,39592406.47,96183.17,direct,
1732964400,96497.52,96137.13,96183.17,253.58,24431468.45,96305.63,direct,
1732968000,96603.2,96289.66,96305.63,367.88,35502147.71,96599.93,direct,
1732971600,96725.84,96459.16,96599.93,394.76,38142053.12,96461.95,direct,
1732975200,96764.86,96356.78,96461.95,523.46,50558107.16,96504.5,direct,
1732978800,96785.25,96457.16,96504.5,521.1,50368497.32,96694.56,direct,
1732982400,96997.72,96572.8,96694.56,541.93,52430276.15,96925.53,direct,
1732986000,97011.47,96821.82,96925.53,412.48,39976601.31,96838.83,direct,
1732989600,97060.22,96819.37,96838.83,370.94,35953102.48,97008.28,direct,
1732993200,97105.69,96925.07,97008.28,353.45,34287691.52,97069.17,direct,
1732996800,97099.88,96885.56,97069.17,351.71,34115376.16,97035.12,direct,
1733000400,97040.99,96827.03,97035.12,382.92,37110141.9,96840.18,direct,
1733004000,96877.92,96408.83,96840.18,545.12,52687122.02,96523.75,direct,
1733007600,96646.34,96379.27,96523.75,692.33,66811313.93,96473.51,direct,
1733011200,96718.93,96325.9,96473.51,878.15,84754379.9,96395.85,direct,
1733014800,96548.86,96117.92,96395.85,1186.59,114337560.18,96163.33,direct,
1733018400,96432.11,95752.22,96163.33,2095.08,201455111.29,95830.94,direct,
1733022000,96489.43,95829.82,95830.94,645.15,62059032.61,96371.75,direct,
1733025600,96568.63,96243.59,96371.75,296.25,28552784.06,96553.15,direct,
1733029200,96554.06,96345.68,96553.15,288.36,27820574.22,96377.7,direct,
1733032800,96538.62,96346.93,96377.7,167.36,16142966.88,96396.1,direct,
1733036400,96554.14,96369.7,96396.1,188.0,18137312.87,96531.96,direct,
1733040000,97226.93,96487.14,96531.96,1038.78,100779877.38,97108.6,direct,
1733043600,97155.63,96917.77,97108.6,220.09,21350631.04,97084.14,direct,
1733047200,97097.47,96625.36,97084.14,277.1,26838278.84,96879.57,direct,
1733050800,97211.67,96878.08,96879.57,239.16,23215796.39,97183.52,direct,
1733054400,97200.47,96848.71,97183.52,669.91,64986378.5,96849.4,direct,
1733058000,97471.99,96744.72,96849.4,977.43,94980824.68,97146.77,direct,
1733061600,97411.52,97047.05,97146.77,770.34,74898251.17,97376.34,direct,
1733065200,97394.92,97045.42,97376.34,723.87,70382254.75,97110.48,direct,
1733068800,97413.81,97088.08,97110.48,731.33,71161846.09,97274.05,direct,
1733072400,97370.96,97111.98,97274.05,446.29,43395682.26,97369.82,direct,
1733076000,97592.38,97156.56,97369.82,641.3,62471680.4,97191.06,direct,
1733079600,97370.31,97026.17,97191.06,610.05,59284400.31,97238.26,direct,
1733083200,97269.93,96865.17,97238.26,545.57,52933840.89,96987.2,direct,
