time,High Price,Low Price,Open Price,Volume From,Volume To,Close Price,conversionType,conversionSymbol,Close_Lag1,7-day MA,Volatility,VWAP,Pct_Change
2024-10-16,68401.67,66752.45,67064.69,42024.2,2841013476.69,67614.71,direct,Unknown,67064.69,64228.137142857144,2.4706508899673363,14011.095673284695,0.8201335158635636
2024-10-17,67931.28,66643.91,67614.71,32062.99,2154293295.5,67408.87,direct,Unknown,67614.71,65246.49285714286,1.931714390707261,10665.659931283686,-0.304430796198063
2024-10-18,69016.74,67167.07,67408.87,36869.58,2516405877.34,68425.63,direct,Unknown,67408.87,66090.52285714286,2.7538345799511545,12298.581518721718,1.508347491954698
2024-10-19,68681.33,68009.42,68425.63,7712.36,526753638.72,68370.04,direct,Unknown,68425.63,66829.52428571429,0.9879660788167337,2568.768211221658,-0.08124148802138853
2024-10-20,69385.31,68094.66,68370.04,11999.25,824334290.12,69020.94,direct,Unknown,68370.04,67710.44714285714,1.895376230676523,3991.9160168349863,0.9520251853004646
2024-10-21,69501.44,66811.42,69020.94,36536.85,2480399716.7,67358.14,direct,Unknown,69020.94,67894.71714285715,4.026287721470378,12178.462897025103,-2.4091239557154753
2024-10-22,67800.62,66540.7,67358.14,32484.74,2184452853.61,67390.32,direct,Unknown,67358.14,67941.2357142857,1.8934576883020444,10828.508872529861,0.04777447833328452
2024-10-23,67436.29,65171.54,67390.32,32488.79,2154644447.87,66612.97,direct,Unknown,67390.32,67798.13,3.475059819055976,10815.358877536884,-1.1535039453737683
2024-10-24,68812.4,66456.7,66612.97,31715.51,2144280257.66,68163.56,direct,Unknown,66612.97,67905.94285714286,3.5447140769854615,10540.491667660444,2.3277598942067934
2024-10-25,68745.57,65510.53,68163.56,43824.41,2952724943.71,66577.77,direct,Unknown,68163.56,67641.96285714286,4.938198485037456,14702.325577403852,-2.3264483251754897
2024-10-26,67366.46,66343.25,66577.77,14159.11,946447393.67,67014.72,direct,Unknown,66577.77,67448.34571428571,1.5422970686543187,4715.157958948992,0.6563001434262583
2024-10-27,68254.55,66852.5,67014.72,12105.31,818581011.16,67945.14,direct,Unknown,67014.72,67294.66,2.097228974234326,4031.38233160647,1.3883815376681374
2024-10-28,70241.74,67541.0,67945.14,42091.94,2902994091.1,69925.83,direct,Unknown,67945.14,67661.47285714287,3.9986674760515912,13976.284614062866,2.9151312367595494
2024-10-29,73612.24,69725.05,69925.83,58289.36,4194343293.57,72723.67,direct,Unknown,69925.83,68423.38,5.575026479005754,19412.777271608902,4.00115379395567
2024-10-30,72945.06,71408.4,72723.67,38392.15,2769522546.26,72331.96,direct,Unknown,72723.67,69240.37857142858,2.1519317055136424,12781.305480821,-0.5386279322811882
2024-10-31,72675.24,69585.02,72331.96,39358.14,2794856636.84,70207.54,direct,Unknown,72331.96,69532.37571428572,4.440927084593784,13154.259783553085,-2.937041938307783
2024-11-01,71616.01,68755.75,70207.54,49030.12,3429441961.46,69473.41,direct,Unknown,70207.54,69946.03857142857,4.160030252015278,16342.72526482263,-1.0456569194704612
2024-11-02,69884.38,69006.88,69473.41,10811.2,750733288.76,69354.01,direct,Unknown,69473.41,70280.22285714286,1.2716123377842903,3605.0436524200522,-0.17186431470689323
2024-11-03,69364.8,67457.91,69354.01,29674.18,2028670648.54,68747.04,direct,Unknown,69354.01,70394.78,2.82678487963828,9868.52709866116,-0.8751765038532033
2024-11-04,69453.56,66793.64,68747.04,43141.35,2939056973.62,67811.95,direct,Unknown,68747.04,70092.79714285715,3.982295320332891,14402.96587347345,-1.3601894714303286
2024-11-05,70540.03,67432.99,67811.95,47211.37,3274519976.93,69378.09,direct,Unknown,67811.95,69614.85714285714,4.607596370856451,15792.150699989017,2.309533939077113
2024-11-06,76482.2,69295.92,69378.09,116207.84,8601347745.99,75643.57,direct,Unknown,69378.09,70087.94428571429,10.370422962852647,38846.00350575411,9.03092028045167
2024-11-07,76963.92,74472.09,75643.57,58490.52,4433063855.56,75922.41,direct,Unknown,75643.57,70904.35428571429,3.3459917668484955,19498.129233832642,0.36862353270741277
2024-11-08,77289.29,75656.7,75922.41,48629.32,3714364388.44,76562.31,direct,Unknown,75922.41,71917.05428571429,2.157892162888411,16184.008981113102,0.8428341513394999
2024-11-09,76949.29,75763.57,76562.31,15808.47,1208160963.89,76716.41,direct,Unknown,76562.31,72968.82571428572,1.5650265688377494,5265.940844818972,0.20127396887581472
2024-11-10,81520.53,76545.66,76716.41,57715.18,4582398468.87,80429.43,direct,Unknown,76716.41,74637.73857142858,6.499218897583475,19213.76362748297,4.839929292833167
2024-11-11,89644.7,80283.65,80429.43,104407.32,8845679630.06,88758.31,direct,Unknown,80429.43,77630.07571428572,11.65997061668223,34194.572035759404,10.355512901185548
2024-11-12,90006.57,85125.04,88758.31,117605.91,10326697667.45,88040.54,direct,Unknown,88758.31,80296.14,5.734540624004422,39239.32554204539,-0.8086792098677908
2024-11-13,93479.86,86252.86,88040.54,124766.84,11250681620.25,90498.51,direct,Unknown,88040.54,82418.27428571427,8.378852596887802,41633.53591755476,2.791861567409737
2024-11-14,91817.29,86679.1,90498.51,81846.21,7309565757.27,87334.19,direct,Unknown,90498.51,84048.52857142857,5.927830353568493,27497.083884292017,-3.4965437552507694
2024-11-15,91897.76,87118.43,87334.19,71049.87,6353615968.72,91058.92,direct,Unknown,87334.19,86119.47285714284,5.486014842094838,23525.366586798762,4.2649161800206725
2024-11-16,91810.87,90092.82,91058.92,27488.76,2501576427.85,90630.94,direct,Unknown,91058.92,88107.26285714285,1.906977714761274,9178.930500868824,-0.47000337803259074
2024-11-17,91436.45,88728.28,90630.94,30966.65,2791320512.2,89877.16,direct,Unknown,90630.94,89456.93857142857,3.0522061286435376,10336.620411744265,-0.8317027275674294
2024-11-18,92649.98,87547.97,89877.16,66007.84,6006522738.03,90514.83,direct,Unknown,89877.16,89707.87,5.827673674215399,22187.806346009962,0.7094905980562727
2024-11-19,94056.9,90414.27,90514.83,64909.54,5995386487.48,92418.48,direct,Unknown,90514.83,90333.29000000001,4.028821999005235,21652.620412066684,2.1031360275437727
2024-11-20,95056.1,91612.46,92418.48,70180.2,6579886464.89,94379.92,direct,Unknown,92418.48,90887.77714285716,3.758921002667104,23411.926884963053,2.1223460935518634
2024-11-21,99056.4,94152.97,94379.92,89243.49,8678686263.5,98436.25,direct,Unknown,94379.92,92473.78571428571,5.207939802642437,29757.64307209551,4.297873954544573
2024-11-22,99772.99,97207.77,98436.25,74286.51,7337283037.5,99010.89,direct,Unknown,98436.25,93609.78142857144,2.6389042768906243,24788.81764907895,0.5837686827769195
2024-11-23,99023.88,97219.23,99010.89,29017.14,2853544178.0,97765.04,direct,Unknown,99010.89,94628.93857142856,1.8562685592140657,9705.663526674347,-1.2582959308819475
2024-11-24,98670.34,95781.2,97765.04,30269.68,2940396079.61,98018.2,direct,Unknown,97765.04,95791.94428571429,3.0163957018705125,10053.676252490259,0.25894737014375835
2024-11-25,98974.51,92592.66,98018.2,68259.16,6533804395.53,93019.38,direct,Unknown,98018.2,96149.73714285715,6.892392982337898,22958.936026772873,-5.099889612337294
