time,High Price,Low Price,Open Price,Volume From,Volume To,Close Price,conversionType,conversionSymbol
2024-11-29,98735.69,95391.39,95670.41,39884.8,3883366949.57,97510.92,direct,
2024-11-30,97514.26,96137.13,97510.92,12565.01,1215861238.63,96473.51,direct,
2024-12-01,97896.77,95752.22,96473.51,17120.23,1659820134.72,97276.47,direct,
2024-12-02,98219.29,94419.96,97276.47,52454.21,5040855658.82,95859.75,direct,
2024-12-03,96304.02,93590.91,95859.75,52781.2,5033493735.21,95928.37,direct,
2024-12-04,96531.06,95569.3,95928.37,2130.94,204238042.82,96420.5,direct,
