time,High Price,Low Price,open,volumefrom,volumeto,Close Price,conversionType,conversionSymbol,7-day MA
2024-08-23,64982.66,60351.28,60387.29,42020.68,2623908332.37,64087.8,direct,,
2024-08-24,64523.11,63591.53,64087.8,15286.56,979836005.58,64180.77,direct,,
2024-08-25,65058.66,63828.67,64180.77,12753.39,819671993.67,64264.62,direct,,
2024-08-26,64504.12,62816.08,64264.62,27037.83,1719932426.98,62850.27,direct,,
2024-08-27,63220.85,58045.32,62850.27,39241.27,2403744129.11,59441.73,direct,,
2024-08-28,60232.58,57868.47,59441.73,38043.04,2251640371.44,59043.5,direct,,
2024-08-29,61191.57,58735.81,59043.5,34345.83,2058113286.38,59369.85,direct,,61891.219999999994
2024-08-30,59926.33,57725.72,59369.85,35023.22,2063630420.49,59129.05,direct,,61182.827142857146
2024-08-31,59456.66,58759.04,59129.05,8035.77,474924657.65,58989.17,direct,,60441.17
2024-09-01,59085.64,57217.94,58989.17,22352.53,1298154355.3,57313.44,direct,,59448.14428571429
2024-09-02,59431.04,57135.27,57313.44,23766.29,1383666270.94,59147.8,direct,,58919.219999999994
2024-09-03,59825.44,57411.84,59147.8,26568.4,1548986994.4,57481.84,direct,,58639.235714285714
2024-09-04,58532.47,55625.58,57481.84,43027.18,2458579314.87,57975.52,direct,,58486.66714285714
2024-09-05,58329.93,55651.61,57975.52,38784.5,2198240196.62,56167.4,direct,,58029.17428571429
2024-09-06,57004.28,52552.05,56167.4,69521.39,3807917186.59,53954.33,direct,,57289.92857142857
2024-09-07,54852.05,53742.58,53954.33,17050.67,925092003.79,54167.82,direct,,56601.16428571429
2024-09-08,55321.44,53631.93,54167.82,19159.79,1042880564.27,54879.33,direct,,56253.434285714284
2024-09-09,58005.33,54591.28,54879.33,42637.41,2385673385.77,57056.31,direct,,55954.65
2024-09-10,58050.66,56397.36,57056.31,33391.45,1908344975.36,57642.43,direct,,55977.591428571424
2024-09-11,58002.86,55554.25,57642.43,55576.26,3160608627.55,57354.27,direct,,55888.84142857143
2024-09-12,58573.29,57330.99,57354.27,40914.83,2373500502.95,58140.61,direct,,56170.72857142857
2024-09-13,60666.01,57637.58,58140.61,40546.37,2401277043.91,60548.12,direct,,57112.69857142856
2024-09-14,60653.12,59433.38,60548.12,15042.25,903199598.39,60013.26,direct,,57947.76142857142
2024-09-15,60409.32,58697.69,60013.26,19176.34,1146142289.52,59139.21,direct,,58556.315714285716
2024-09-16,59215.73,57486.82,59139.21,33106.34,1927790314.93,58210.01,direct,,58721.130000000005
2024-09-17,61356.68,57624.63,58210.01,40712.51,2440680770.1,60321.59,direct,,59103.86714285715
2024-09-18,61794.54,59185.2,60321.59,48151.29,2902628124.61,61775.68,direct,,59735.49714285714
2024-09-19,63881.87,61582.28,61775.68,46829.96,2939807292.07,62963.41,direct,,60424.46857142857
2024-09-20,64131.22,62345.57,62963.41,34617.55,2188110863.96,63211.47,direct,,60804.94714285714
2024-09-21,63548.08,62767.25,63211.47,12142.67,766364347.61,63363.17,direct,,61283.50571428572
2024-09-22,64015.58,62394.47,63363.17,18884.06,1190921326.46,63587.45,direct,,61918.968571428566
2024-09-23,64749.32,62584.5,63587.45,27280.27,1734107185.41,63341.97,direct,,62652.10571428571
2024-09-24,64698.02,62710.48,63341.97,32160.64,2045185242.06,64276.65,direct,,63217.11428571429
2024-09-25,64823.35,62938.97,64276.65,23967.21,1526541478.78,63144.83,direct,,63412.70714285714
2024-09-26,65861.15,62660.36,63144.83,43302.56,2800234985.9,65183.68,direct,,63729.888571428564
2024-09-27,66547.69,64839.11,65183.68,36162.6,2378877920.32,65790.28,direct,,64098.29
2024-09-28,66267.41,65442.19,65790.28,10383.49,682765288.62,65868.67,direct,,64456.218571428566
2024-09-29,66081.97,65440.3,65868.67,11532.92,758322138.61,65611.98,direct,,64745.437142857154
2024-09-30,65627.43,62846.03,65611.98,42396.01,2712227231.34,63314.81,direct,,64741.55714285715
2024-10-01,64112.99,60156.13,63314.81,67326.52,4189744833.01,60790.06,direct,,64243.47285714285
2024-10-02,62383.28,59976.82,60790.06,55652.18,3402156876.74,60641.8,direct,,63885.897142857146
2024-10-03,61478.71,59846.16,60641.8,50457.09,3058499959.35,60746.35,direct,,63251.99285714286
2024-10-04,62480.52,60458.33,60746.35,38904.7,2395319327.7,62094.06,direct,,62723.96142857143
